thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,calibration.started,mouse_2.started,polygon_2.started,calibration.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.corr,trial.started,mouse.started,polygon.started,time_in_run,x_coord_mouse,y_coord_mouse,x_coord_target,y_coord_target,opacity,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,0.0121498,0.0119267,0.0224649,1.7152969,[0.056666666666666664],[0.058333333333333334],[1],[0],[0],[1.7025224999524653],[],,,,,,,,,,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,1.7258511,,,,,,,,,,,,,1.7168462,0.0014551,1.7258511,3.003216505,-0.003333333,-0.003333333,0.182383657,-0.7958318,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.013183117,-0.003333333,-0.003333333,-0.03454976,-1.422576736,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.023150921,-0.003333333,-0.003333333,0.125053273,-1.130707117,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.032124281,-0.003333333,-0.003333333,0.352834123,-1.123192382,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.041089773,-0.003333333,-0.003333333,0.453368803,-0.713335874,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.050694227,-0.003333333,-0.003333333,0.49365037,-0.61673364,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.058661699,-0.003333333,-0.003333333,-0.08576334,-0.96045251,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.068632126,-0.003333333,-0.003333333,-0.327384403,-0.474829224,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.07759738,-0.003333333,-0.003333333,-0.421365974,-0.770808391,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
